app_number,description,is_published_case_study
115,"Quantum x Carlsberg Quantum has been working with the Carlberg global brand team to deliver their global activation strategy across multiple brands through the creation of activation toolkits, In the UK, this includes: Carlsberg Premium Toolkit A practical toolkit that supports markets to win in Premium sales channels. Our toolkit included an overview of market trends and the premium sales opportunity. Grimbergen On Trade: Inspiring Markets Toolkit Helping the brand take flight and harness their rich heritage in order to inspire our markets and generate momentum, our toolkit delivered a simplified method to guide activation and investment, based on the level of maturity and needs of the individual markets. Tuborg: Festival Toolkit With the need to translate their global ATL campaign strategy into an impactful third space / event approach, we developed a tiered suite of environment options for market rollout via a best practice toolkit. 1664 Blanc: Brilliant Basics Delivered in Style Supporting a multi-market rollout of the 1664 Blanc brand, we created an impactful and stylish suite of POS that could deliver visibility throughout the on trade path to purchase.",FALSE
115,"Quantum Marketing are working with Gruppo llunelli/ Area 39 specifically with the Ferrari prosecco brand to create some co-branded terraces as visibility pieces to enhance awareness of the brand within the UK. To date we have produced and installed at one venue in Canary wharf with a further 2-3 venues planned. The work included design concepts and ideation with the UK venue and the Italian Marketing team at Ferrari, through to production of assets and finally installation. Assets produced were branded planters, a co-branded archway and branded parasols. Alongside this installation we worked with Gruppo llunelli/ Area 39 team to activate at the Grand Prix at Silverstone. Ferrari prosecco were the sparkling wine sponsors for the event, so we again worked with them to bring their ideas to life to ensure visibility of the brand at a large-scale event in the UK. At Silverstone we created wall features, podiums and a pop-up bar.",FALSE
6,"We assisted a USA based company with their launch in the UK. Initially they wanted a small office for 10 to 15 people in the East of London. We found them a unique, cost effective solution that enabled them to launch their business in the UK succesfully. Over time we assisted them with several moves and they now occupy a 50 person office through WeWork in The City.",TRUE
6,"We assisted a California based company with their launch in the UK. The client wanted a 2,000 to 3,000 square feet customised space in The City to accommodate up to 40 plus staff. We found the client multiple options to view and consider before they signed a 3 year deal on a customised managed solution in The City.",TRUE
41,"Since 2016, we have been supporting the UK branch of a Language Services company with headquarters in the USA and further branches in Germany to support their clients with their export goals into the UK. In this case, our end client’s goal was to offer their advertising customers in the DACH region and France high-quality, fast translations to increase site traffic and boost sales to the UK. We engaged (and continue to engage) with our client via regular online meetings, email and online portal. Our client’s testimonial states that working with ecls “has been an outstanding experience. Their team's professionalism, expertise, and commitment to excellence have made a significant impact on our organization […]. From the very beginning, they demonstrated a high level of professionalism, effective communication, and a genuine desire to understand and meet our specific needs. Their collaborative approach, coupled with their willingness to adapt and accommodate changes, made the entire working process smooth and efficient. The impact of working with ecls has been transformative for our organization. Their simple and straightforward workflow has significantly enhanced our operations, resulting in improved efficiency and productivity. Their attention to detail and commitment to delivering high-quality results have undoubtedly elevated our performance and allowed us to meet our KPIs consistently, even when others had failed.” https://eclstranslations.co.uk/marketing-case-study-opening-up-new-markets/",FALSE
41,"Since 2019, we have been supporting our client, a Language Services provider, bring French films and TV series to the UK. Our client’s goal is to localise content ranging from film and TV series titles to translating scripts, interviews and on-screen text for marketing trailers and artwork in order to capture the attention of English-speaking viewers across the globe and provide them with an experience that feels local and relevant. We engaged (and continue to engage) with the overseas business via regular online calls, email and their proprietary online tools. The projects require a unique blend of skills: on the one hand, original and creative thinking, and on the other, a detailed approach to research and a deep understanding of genre conventions and audience expectations. We work closely with the client to ensure that their feedback is incorporated into the translations and transcreations provided. As a result, we’re able to deliver thoroughly researched, creative translations tailored to the genre and target audience within the deadlines in order to appeal to a global English-speaking audience. Certain French programmes have enjoyed a massive surge in popularity among global audiences and over 70 million subscribers are now watching them. https://eclstranslations.co.uk/transcreation-case-study-helping-attract-viewers-in-their-millions/",FALSE
34,"Female doctor moving from The Netherlands to Middlesbrough Challenges faced – This young lady doctor was relocating on her own so it was essential that we ensured she lived in a safe, secure environment close to the hospital. How we helped - • Booked hotel accommodation ahead of arrival • Arranged airport pickup and transfer to hotel • Assisted her with opening a new UK bank account into which her salary could be paid and bills and rent paid out of • Assisted with application for National Insurance Number • Gave her a single point of contact prior to arriving, through to settling in • Took her out on an accompanied homesearch showing 13 properties that fitted her brief and budget • Found her a great unfurnished property close to the hospital • Favourable contract terms negotiated with agent/landlord • Tenancy agreement checked on doctors behalf and amendments made to better protect her position • Coordinated furniture delivery with check in date • Attended check in on doctors behalf as she had not permanently arrived in the country. Checked the inventory and produced a detailed check in report to protect her deposit against any unfair deductions at check out. • Followed up check in issues on doctors behalf • Transferred utilities and assisted with broadband/TV set up • Provided a welcome pack Moving from another country for work is a big decision but if you are doing so alone , without the support of a partner, being offered relocation support is not only a nice to have but essential to ensure a doctor settles happily and quickly in their new role.",TRUE
34,"Executive Home search from Houston, Texas to St Johns Wood, London Time was of the essence for the Latham family who had just 24 hours to secure a rental property in London having arrived from Houston. James, a senior executive for an oil and gas company was on a tight time scale having found out at late notice that he had a two year assignment in the UK, with his wife and three children. We love a challenge, so was quick to identify the family’s requirements and between us, narrowed search areas down to North London. Because they only had one day to view properties, North London gave us the opportunity to maximise our time and choices and fortunately, the family were vaguely familiar with this area. A short commute to his office in Greenford was a huge consideration, as was closeness to an International School for the children. St Johns Wood, Swiss Cottage, Kensington and Marylebone is where we focussed an intensive home search, and due to the fast moving rental market, we also ensured that we secured an extra day’s viewings as a contingency. Fortunately, this was not needed as the Latham’s chose a perfect property in St Johns Wood that they were really happy with. After some tough negotiations with the landlord in relation to fixtures and fittings and arranging an inventory clerk to be there at check in, they are now happily settled in their new home. We also worked with our removals partner to ensure that the Latham’s furniture was shipped over which helped them settle in, as well as providing all the necessary settling in services to make their new life in the UK easier. They were particularly grateful for our persistence in resolving the problems with their Sky TV!",TRUE
37,"GOBI Cashmere is a Mongolian cashmere producer, established in 1981. Following its success in reaching out to customers in Europe, the US and internationally, GOBI Cashmere established a subsidiary in Germany and was looking to establish a similar setup in the UK. The company was in need of a reliable professional services provider that could help with incorporating its UK entity, while assisting with accounting and tax compliance and administrative services. We worked closely with GOBI Cashmere to help expand its business into the UK market, starting with incorporating a UK entity, providing a UK director for the client, and opening a UK bank account. Within a short time, our client has established itself within the UK and was operating successfully and efficiently. In addition to assisting GOBI Cashmere with its UK company incorporation, we provide annual accounting services, financial statements, tax declarations, and other ongoing general administrative services, as we continue to act as a trusted partner to the business, proving support through every step of its growth journey. ""Hawksford has helped us from the beginning by helping us incorporate a UK entity for our business, providing a UK director for us, registering us for VAT, and opening a UK bank account for us. Within a short time, we were established in the UK and operating successfully and efficiently with their help.Hawksford is well suited to providing us with accounting services, financial statements, tax declarations, and other general administrative services."" - Anujin Baasanjav, Head Accountant, Gobi Cashmere UK Ltd",TRUE
37,"Bio Essentials Limited is in the life science business. The parent company (ATCC) is headquartered in the US, with a mission to support global research through the acquisition, authentication, preservation, manufacturing, and distribution of its biomaterials globally. Its UK based subsidiary was looking to expand and grow in the UK and European markets. New to the UK market, the client was looking for a professional services provider to support them with incorporating a UK entity, and provide administrative support in relation to accounting and regulatory requirements, as well as compliance. We provided bespoke services to the client, assisting the business with its UK expansion. This included everything from incorporation of its UK entity to providing annual accounting services, financial statements, payroll management and tax declarations. Through our continued support, we enabled the client to start their operation in the UK smoothly. “For as long as I can remember, ATCC has used Hawksford Singapore for processing employee payroll, as well as other regulatory filings in the region. And so, it was a seamless fit and an easy decision to choose Hawksford to support us with our venture into UK and Europe."" ""Hawksford’s understanding of the region and experience in supporting companies like ATCC with establishment and expansion, as well as assistance in terms of regulatory and compliance filings, accounting and payroll services, ensured the process went smoothly."" - Mabs Imala, Director, FP&A, ATCC",TRUE
35,"We have been working with a recruitment company from India - company reg 14512076. Their goal was to register in the UK, and then onboard clients in the medical industry, where they would supply staff from India. We did everything from company formation, through to market research in their identified fields, a sales strategy with one of our consultants and marketing for them in the UK. We are continuing to work with them, as they expand to other continents, including support with all accounting requirements in the UK",TRUE
35,"We have also recently started to work with International firm - Globevisa. They were looking to partner with a UK consultancy, who they could work with for business owners around the world, looking to gain permanent residency in the UK (via business). We have provided ongoing support to a number of clients in helping them get setup here, and now have a formal MOU in place with globevisa. This will soon go on our website, and via this, we can now support anybody worldwide, looking to get residency in selected countries around the world.",TRUE
17,"Halsa (https://shop.sanghalsa.se) is a Swedish mattress manufacturer with retail and wholesale sales units directly operated by the company or its authorized dealers in various parts of the world. They had a distributor in the UK years ago, but encountered several issues that led to the termination of the operation. Now, they are keen on establishing a direct presence in the UK market through their own investments. However, they were unsure about the specific reasons behind the past difficulties. To begin with, we conducted a thorough analysis of the available data to examine the previous experience. We identified the lack of suitable location alignment with the target audience, inadequate fulfillment of competitive conditions, and improper planning of service standards as contributing factors. Based on these findings, we developed a comprehensive plan and project for addressing these challenges in the new investment, including a budget allocation and risk mitigation strategies. Within the scope of this investment project, we identified and presented alternative sales point options for the customers. Once approval is granted for the investment, we have established a structured process to be followed. The plan to invest in the UK has been put on Halsa's agenda, and we are currently awaiting a definite date and investment approval to commence the project.",FALSE
17,"Bascuda is a UK-based start-up specializing in handmade tableware products. They sell under their own brand through various channels including retail stores, online sales platforms, and distributors in other countries. Currently, they have distributors in the United States and Germany. As a start-up, Bascuda initially started with limited capital investment and had predominantly opportunity-driven processes due to the inexperience of their team. Consequently, they have identified several significant structural deficiencies. However, their success has attracted interest from various investors. While the company requires investment for growth and sustainability, they are not yet in a position to receive and manage investments effectively, nor do they have the necessary infrastructure for investment negotiations. Before presenting the company to investors, we have initiated efforts to establish robust processes, develop reporting infrastructure, conduct risk planning, create a brand strategy, and formulate a comprehensive business plan. Although these efforts are ongoing, we have identified and promptly resolved certain issues that the company had been unaware of for a long time. At present, we have achieved a productivity increase of over 20%. We are gradually transforming the company into a well-structured and agile-oriented organization, following a concrete plan. In the next 3-6 months, we aim to complete this phase and begin discussions with various investors from Europe, with whom we are already in communication, as part of our growth plans. Both our client and ourselves believe that by preparing the company for investment instead of directly seeking it, we can significantly enhance its valuation.",FALSE
73,"A client we have had an ongoing relationship with in Europe for several years approached us for support in expanding their business into the UK, trusting us as a result of our long working relationship. Due to working predominantly in Europe, our client was not totally sure on the laws and regulations that were in place for new businesses in the UK and this was what they needed advice on, as well as help with relocations of workers and their families and the plans for expanding the business in itself. We provided the client with the necessary knowledge of regulations and helped with relocation by becoming a physical presence aiding the relocations. We also helped them with risk assessments and audits in the opening of their new stores. The client has since successfully relocated to the UK and continues to expand throughout the country.",TRUE
73,"A client we have worked with in the past had desires to set up a new company that was connected to their existing company, but based within the UK. This would mean relocations for their workers and families, but they were also concerned with managing the company between countries. We stepped in to provide the client with advice on management of the company between countries. We are based in the UK but operate on an international level, so are well versed in managing offices in several countries under one company. We provided advice on control rooms, communications, and even how to manage working hours to ensure that communication between countries was possible for the company. The client managed to successfully relocate their workers and set up the new company under its existing umbrella. We continued to offer them advice in the early days of the new company opening, however, within a few months communication was running smoothly and continues to to this day.",TRUE
56,"The Investment Outlook: a roundtable on accessing capital in the UK Earlier this year, we organised for over 80 delegates from the LATAC region a morning full of insights on accessing capital in the UK. The day kicked off with an introductory presentation from FinTech Alliance on the investment landscape in the UK, it was then followed by a brief panel discussion with a VC that operates with LATAC FinTechs that are looking to expand in the UK market and finally, there was a guided roundtable with the FinTechs and our investor partners. The roundtable saw 120 industry leaders discussing the investment landscape in the UK, the opportunities available for founders, insights on the current market outlook, and practical advice for the FinTechs that are looking for capital.",TRUE
56,Our 2022 Investment Series saw more than 140 companies sign up to take part with an average attendance of 60 companies per masterclass. We hosted a pitch day at the Guildhall in London and saw more than £60 million raised by the 140 companies that took part in the series.,TRUE
138,"Harrison Street Real Estate, a prominent real estate firm based in Chicago, sought the support and security needed to manage their entities in the UK and Europe effectively. With an annual exposure of over 500 Million USD, they recognized the potential impact of Foreign Exchange market volatility on their operations particularly for their UK entity's transactions in EMEA, which operated independently from the US headquarters. How Fiscal FX engaged with Harrison Street: All great partnerships begin with excellent communication, we ensured a seamless connection with Harrison Street's headquarters despite the geographical distance and made being accessible and available 24/7 via email a priority. We directly engaged with their UK entity, forming a strong working relationship that endures to this day. Our collaborative efforts with the UK team revealed opportunities for significant improvement: a) Tailored FX Strategy: Identifying the shortcomings in their existing strategy, we set about crafting a bespoke solution to mitigate market volatility risks. Through careful analysis and leveraging our expertise, we instilled certainty in Harrison Street's overseas investments, safeguarding them from adverse currency fluctuations. b) Streamlined Transaction Process: Recognizing areas of substantial value addition, we enhanced the efficiency of their transactions between the UK and the US. Our streamlined process optimized conversions from Euros to GBP, ensuring additional profit upon project completion. The Outcome: Thanks to the diligent collaboration, Harrison Street now operates with the utmost confidence, knowing that their overseas investments are shielded from the impact of currency fluctuations allowing them to focus on their core operations.",TRUE
138,"CBRE Investment Management, headquartered in New York, were seeking increased efficiency, market insights, hedging advice and transparent pricing. Fiscal engaged with CBRE's UK and Dutch entities, fostering a collaborative relationship that resulted in a comprehensive solution. Client's Goals: a) CBRE sought a streamlined process for their overseas transactions, seeking a more cohesive and efficient system that could be managed online. b) With a global presence, CBRE desired proactive, up-to-date market information to stay ahead of currency fluctuations. c) To mitigate risks between their UK and European offices, CBRE required tailor-made hedging strategies that aligned with their commercial objectives. After meeting with CBRE's US headquarters, our hands-on approach included in-depth meetings with 13 individuals based in the United Kingdom and Europe ensuring a thorough understanding of challenges CBRE faced. Key initiatives: a) We introduced a streamlined transaction solution that allowed all stakeholders to make and monitor transactions from a single platform. This cohesive approach improved efficiency and transparency. b) Drawing on our expertise, we developed risk management solutions that aligned with CBRE's commercial needs. c) By harnessing limit orders, we unlocked additional value for CBRE, enabling us to target advantageous exchange rates during overnight markets' higher volatility. This tool saved CBRE 0.5% compared to spot market transactions. d) Recognizing CBRE's size and extensive team, we assigned them a dedicated point of contact. The Outcome: Fiscal identified potential savings of nearly 1.93 million USD annually compared to CBRE's previous currency transactions.",TRUE
112,"We assisted the UK branch of an international corporate group engaged in food manufacturing. They are building a factory in the UK and needed support in securing work visas for Senior Executives and for food production engineers transferring from their overseas entities. The client needed a strategy for to help them meet their UK business expansion goals. The client’s need to secure immigration permission for personnel to fill diverse roles in the business and their having already submitted a sponsor licence application by the time they engaged us meant that we had to tailor a plan for them. We added a Global Business Mobility sponsor licence to their sponsorship capacity. We guided them in making use of the most appropriate route for each of their personnel. We advised on use of the Senior or Specialist Worker route for two Directors who would be travelling in and out of the UK; this route allows the business to pay the minimum salary required under the sponsorship regime only whilst the Directors are in the UK. In contrast, engineers transferred under the Skilled Worker route, affording them settlement rights and permitting the UK entity to retain them in the UK for the long-term. Our work on various sponsorship matters for the UK branch of an international food manufacturer reflects our strategic agility, built on deep knowledge of sponsorship requirements.",TRUE
112,"We acted as expert advisors to the London Business Hub to support London-registered SME’s. We advised a UK vinyl pressing plant via the London Business Hub programme. We supported the business in securing work authorisation for its Founder and Director, by preparing and submitting an exceptional, late application for settled status under the EU Settlement Scheme. The deadline to apply for the Scheme was 30 June 2021. Late applications are only accepted in particular circumstances and additional representations are required. The application was also complex because the period of residence on which it was based ended in 2008: collating the required documentation was more difficult than usual. The Home Office requested additional documentation whilst processing the application, based on their own incorrect interpretation of the requirements. The Home Office also erroneously refused the application in the first instance. Through our correspondence with the Home Office, we convinced them to correct their errors at each stage and secured settled status for the business Founder. This matter evidences the high calibre of our advocacy. We are comfortable with the warren of Rules that make up the EU Settlement Scheme and were able to rectify the Home Office’s mistakes immediately, through both formal and informal processes. We are pleased to have secured recognition of the business Founder’s right to work in the UK, without which this new UK business would not exist. Our service as expert advisors also reflects that our practice is recognised as leader in Brexit-related matters and as a partner to small and medium-sized businesses. We have been pleased to support the London business community through a volatile period.",TRUE
140,"M is a Russian venture capitalist, living in Russia, who has just closed a $30 million fund. He wants to target UK technology startups and considers that London will be a better base for his operations. He is referred to WestBridge Business Immigration by his friend P who immigrated to London and set up his technology business with WestBridge's help. WestBridge advise M on the relevant immigration options, which include the Skilled Worker and Global Talent routes. WestBridge advise M that he is an excellent candidate for the Global Talent visa which will allow him to settle after 3 years and give him the freedom to run his fund. WestBridge advise M on his Tech Nation endorsement application which is subsequently approved. Thereafter, WestBridge successfully obtain visas for M and his family. WestBridge also assist M to find suitable schools for his children with the help of their educational consultant partners. Prior to M's arrival, WestBridge liaise with their business network and put M in touch with suitable investment fund/ corporate lawyers and other professionals so that M is ready to hit the ground running on arrival. M subsequently has set up a UK branch of his investment fund and has made investments of £2 - £5 million in at least 8 UK start-ups to date through the fund.",TRUE
140,"P Group is an Italian multinational with a global revenue of over €450 million. P Group sought WestBridge's advice on opening a UK subsidiary and on the immigration of one of its existing Italian employees to the UK. WestBridge advised that the UK expansion worker visa category was the most appropriate category for the employee as it would allow him to open a UK office. WestBridge assisted Group P to incorporate a UK subsidiary, helped it set up a UK bank account and register its business with HMRC. Further, WestBridge liaised with P Group to prepare the relevant documents, including preparing a business plan, to make a successful UK expansion sponsor licence application for the newly incorporated UK business. Thereafter, WestBridge advised the Italian employee on how to meet the UK visa requirements and helped him through the entire application process.Both the sponsor licence and the employee’s visa were approved. P Group's employee now runs the UK office in London and has a staff of ten and growing. The UK office is proving to be an important source of new UK customers for the Italian business.",TRUE
132,"A senior member of the Atticus team was involved in the process that brought Ciner Glass to the UK recently. The Ciner Group is a large Turkish conglomerate with interests in natural soda ash, glass manufacturing and shipping. They were looking at a number of locations in western Europe for a new glass bottle manufacturing facility. The team helped them understand and navigate the political and economic environment, build relationships with all levels of the British and Welsh governments, manage a complex planning process and secure support from the local community in order to secure planning permission to build their new facility.  With the team’s assistance they eventually settled on a site in Ebbw Vale, South Wales. The investment is worth around £ 400 million, resulting in one of the largest investments in South Wales for decades, bringing thousands of direct and indirect jobs to the local area. The aim is for the project to act as a catalyst for economic regeneration and helping increase investment in the circular economy in Wales, helping the country achieve its net zero targets.",FALSE
132,"In 2020, Importaco a Spanish-based company specialising dried fruit and nuts bought a majority share in Italian-based Besana to become the largest fruit and nut processor in Europe. Through the acquisition, Importaco inherited a large operation in the UK which supplies major supermarkets including Tesco, Sainsbury’s and Morrisons.  Importaco asked Atticus for communications support around their merger with Besana, and in particular on their work at the newly acquired premises in the UK and the products they would be stocking in UK supermarkets. Atticus ensured that Importaco had a cohesive media and corporate communications engagement strategy, ensuring they stayed relevant in an ever changing UK market and were able to leverage media connection as and when they were needed. Atticus also developed a strategy focusing on the strength of the brand to position Importaco as a market thought leader with a unique offer. Atticus supported Importaco in the transition to the UK market, particularly through media engagement around the announcement of the merger and on subsequent product launches in the UK, securing a steady stream of media coverage.",FALSE
79,"Case Study 1: Mexican Company - Expanding Market Reach in the UK Client's Goal: A Mexican fashion retailer aimed to expand its market reach and establish a successful presence in the highly competitive UK market. Our Engagement: OneTerra Consulting engaged with the Mexican company by conducting an in-depth market analysis to understand the target audience, competitors, and market trends. We developed a comprehensive marketing strategy that leveraged our expertise in social media, website development, and advertising. We collaborated closely with the client to align their brand messaging and values with the preferences of the UK consumers. Outcome: Through our targeted digital marketing campaigns and strategic social media management, we successfully increased brand awareness and engagement for the Mexican fashion retailer in the UK market. The client experienced a significant increase in website traffic, online sales, and brand visibility. Their successful entry into the UK market positioned them as a reputable fashion brand, paving the way for further growth and expansion.",TRUE
