app_number,company_id,description,is_published_case_study
76,9150,"A prominent engineering and construction firm sought to establish a subsidiary in the UK to expand its international operations and capitalize on the European market's potential. Our team closely collaborated with the client's executive team to understand their expansion objectives thoroughly. We conducted extensive market research, identifying key sectors and potential clients in the UK construction industry. Thanks to our comprehensive support and strategic insights, our client successfully set up its UK subsidiary and secured significant contracts for major infrastructure projects. The subsidiary's growth in the UK market further solidified our client's position as a global player in the engineering and construction domain.",TRUE
76,9150,"A leading global environmental services company sought to solidify its presence in the UK market by acquiring an existing UK-based company with complementary offerings. Our team assisted our client throughout the acquisition process, conducting due diligence, assessing market potential, and advising on compliance and regulatory matters. With our support, our client successfully acquired a well-established position as a distribution company in the UK. This strategic move bolstered their market position and expanded its product portfolio, allowing the company to better serve its European clientele. We currently assist this client with their immigration needs to bring skilled workers into the UK.",TRUE
30,9230,"IMA worked with FIA Tech, the Futures Industry Association, who are based in New York, this is the trade association representing futures industry market participants, they wanted to employ two staff within a couple of months and we added them to our PEO solution; this was an 18 month requirement whilst they got their UK subsidiary operational. We delivered bespoke employment contracts and due to the way we establish our clients on our PEO systems and with our suppliers, were able to seamlessly transfer them into their UK operation, maintaining the commercial relationships we'd introduced through our PEO service. TUPE transfer happened easily and the client was delighted. The employees continue to work with IMA as we deliver outsourced HR.",TRUE
30,9230,"IMA has been providing employee relocation to Freshworks, a major US CRM company. Freshworks have relocated many employees from their Chenai office and IMA has relocated all these staff to London for the past 6 years. We have always managed to find the perfect apartment and schooling for the employees and go out of our way to identify the requirements of each employee relocating to London.",TRUE
127,9237,"When the client, the world’s largest vaccine manufacturer by number of doses produced & India’s No. 1 biotechnology company wanted to grow in UK market and instructed us they had set up a subsidiary of the Indian company in the UK. We advised them on the Sponsorship Licence and Skilled Worker Visa as they wished to market their business and advised them that if they wished to recruit overseas workers they required a Sponsorship Licence. We assisted them in reviewing the application, growth plan and preparing the supporting documentation for the application. The application was time critical, and we managed to expedite the application. The Licence and visa were approved, and the first employee commenced employment in time to progress their business.",FALSE
127,9237,"To establish a presence in the UK to serve in the field of automation and controls internationally. The company is now one of the leading suppliers of engineering & commissioning services. To be responsible for the Nuclear Power Plant Automation & Control Systems Engineering. We advised them on the Sponsorship Licence and Intra Company and Skilled Worker Visa. We assisted them in reviewing the application, business plan and preparing the supporting documentation for the application. The application was time critical, and again we managed to expedite the application. The Licence and visa were approved the first employee commenced employment in time and the business has grown since",FALSE
113,9238,"After co-hosting an event with DIT in India we were approached by a client with an established IT company based in India and seeking to expand their operations within the UK market. We reviewed the business activities and analysed the best legal business structure for the company in the UK.  We concluded and continued to set up a UK limited company for our client which is a 100% subsidiary of the company based in India.  We also assisted our client with in opening a UK bank account and search for office space in London. Since formation we have been involved with running the UK company finance operations and meeting all compliance and regulatory obligations to include payroll filings, Bookkeeping and VAT filings and annual statutory accounts and CT600. As a result of its successful UK operations the client had managed to grow their company obtaining contracts from large reputable corporate clients based worldwide.",TRUE
113,9238,"We were approached by a client based in Amman Jordan whom were seeking to expand entertainment leisure business to the UK market. ProHal specialises within the entertainment and leisure sector with various clients involved in the setup of indoor adventure golf concepts and restaurant businesses. We arranged an initial zoom consultation with the client to discuss their objective and plans to enter the UK market. Whilst they were securing a premises the company required a UK entity to be formed and open a UK bank account in order to commence its plans. We advised the client on the best legal structure for setting up the UK Company and assisted with the company formation process and securing a registered office address as the company did not have any representatives in the UK. We also assisted the company with the bank opening process using our connections within the banking sector. The Company were able to secure a large indoor space to start the development of their venture and regularly consult with us on professional connections. We continued to support our client in providing ongoing accounting, payroll, VAT, corporation tax and other consultancy and compliance services to our client to ensure that the company was running smoothly whilst complying with UK reporting requirements. As a result of looking after the UK compliance requirements our client is able to focus on setting up their UK location and development.",TRUE
226,9240,"A veterinary technology business was looking to expand into Europe via a UK headquarters. The company was looking for an experienced UK professional adviser who could provide advisory services across a broad range of legal and consulting areas, and share their insights from advising other companies who have been on the same journey. The Gateley Global team supported them in the UK by: Project managing their UK entry; Opening a UK business bank account; Registering them for taxes with HMRC; Organising their insurance, and Coordinating further international expansion activities. The wide range of services available across Gateley Group meant that the company only needed to work with one service provider to accomplish all of their UK legal and commercial requirements – making investment into the UK an efficient and straight-forward process to navigate.",TRUE
226,9240,"An Australian FinTech company was seeking to expand to the UK. Gateley Global provided market research on three UK regions that matched their specifications (namely, London, Cambridge and Scotland). We compared the industry clusters, availability of grants and equity, operating costs, and labour availability. We then recommended the most suitable region for them, based on their requirements. Gateley Global is now project managing the company’s operational establishment in their selected UK region, including: Company incorporation; Opening a UK bank account; Locating an office space, and Introducing them into the regional FinTech network. By working with Gateley Global, the company has fast-tracked and cemented their investment into the UK. They were able to leverage Gateley Global’s on-the-ground knowledge and capabilities, as well as our skill and understanding of the inwards investment journey.",TRUE
123,9254,"We worked with a Norwegian group which was looking to expand into the UK market. They identified an individual that they wanted to bring on board and as he was going to be based in the UK full time, they asked for our advice as to the registration requirements which would arise. We talked them through the tax implications of having an employee in the UK and explained their options, and they concluded that they would like to establish a branch. We set out what that would mean for them from an ongoing compliance perspective in order that they had a clear view of their requirements going forwarded. They needed full support in the setup process as they did not have previous experience and did not have UK advisors in place. We talked them through the steps that would need to be taken and through our Pathfinder service, and provided them with a single point of contact to lead them through the process from start to finish. Our company secretarial team is helping them to establish the branch with Companies House; our legal team is helping them draft the employment contract; and our tax teams are registering the new establishment for corporation tax, payroll taxes and VAT. Going forward, we will be helping them with their ongoing company secretarial compliance, ad hoc legal advice, annual corporation tax returns, monthly payroll and quarterly VAT return filings.",FALSE
123,9254,"A retail client of our Turkish firm was looking to expand internationally and wished to set up a new UK company in order to facilitate their expansion into the UK. They needed a firm that could help with the end-to-end process as they didn’t plan to have a large back office function in the UK. Again, our Pathfinder team was ideally suited to assist with this request. We explained what it would mean to have a UK company, the requirements upon incorporation and going forward, in order that they were clear from the outset as to what would be involved. We coordinated the incorporation of the new UK company; our accounting team assists with the bookkeeping and with the preparation of the annual statutory financial statements; our company secretarial team provides ongoing compliance support, as does our tax team; together ensuring that the client remains compliant with their UK accounting, tax and legal filing requirements. And all of these services are provided under the umbrella of our Pathfinder offering meaning that the client has only one point of contact who coordinates all of the PwC teams and ensures that relevant, proactive assistance is being provided, enabling the client to focus on their business.",FALSE
40,9256,"Korean-based energy business wanted to set up a UK entity (UK version of itself) to expand its business in the UK and European regions. We supported with the necessary initial Companies House registration and associated corporate advice, as well as providing address for service in the UK since at that time they did not yet have physical premises in the UK. We also gave full support for the visa and Sponsor Licence applications under the UK Expansion Worker visa route. This was successful and the business is now in the UK.",FALSE
40,9256,"Singapore-based financial trading business with an entity also in Japan, wanted to set up a UK entity (UK version of itself). We supported with the initial Sole Representative visa application to allow the first expatriate manager to come to the UK. We then supported this organisation with obtaining a Sponsor Licence in order to bring further expatriates to the UK to facilitate their business expansion here. Since that time we have remained in close contact, providing general assistance where required.",FALSE
49,9266,A large US IT client who setup a company in the UK. Their two directors are based in USA and they were struggling to open a bank account. For the company to be successful in the UK it was critical to open a bank account. We helped them open bank account in the UK. We provide a one stop service for them and they come to use for all finance and operational matters. Now they have grown in 5 years from one employee to 30 employees in the UK and revenue of 0 to £15m in 4 year. Without of our support I think they would have struggled in the UK. We also have recently moved them to another bank account. They do appreciate even though they are 8 hours behind the UK we always respond to their queries on the same day which includes late night,TRUE
49,9266,Another large IT US company that we setup their UK company in 2022.  Again we setup the infrastructure of the UK company and provide a one stop service where they come to us for everything including non finance matters. We co-ordinate on their behalf as well for example they will need a immigration lawyer or auditor so we will use our network to find suitably qualified firms at an effective cost. In September 2022 the UK company acquired large European operation of £20m and 1400 employees. There are 4 employees in the UK and have ambitious plans to grow in the UK through acquisition.,TRUE
15,9270,"The client's goal was to set up a subsidiary in the UK to cater for the Uk market . We assisted the company by first informing them of all the different aspects of a set up in the UK , we created the company , did all the necessary registrations, took over the payroll and the accounts in the UK, with a constant dialog with the parent company in their own language. The company is now employing 7 people in the UK and expanding.",FALSE
15,9270,"Having set up a company in the Uk by themselves, the client was now looking to employ several people in the Uk, find an accounting firm able to communicate with the mother Company abroad about accounts and payroll in order to advise them . We were able to describe the diffrerences between the 2 countries and guide them to avoid costly mistakes.",FALSE
52,9278,"Australian company MC Global have been developing and delivering Computerised Maintenance Software (CMMS software) solutions since 1999. Looking to explore the market, MC Global appointed JMB to launch the brand and gain a foothold in the UK and Europe through a comprehensive lead generation campaign. Through a highly targeted research and data collation the objective was to create engagement with potential clients with a view to introducing the MC Global brand. Simultaneously to outbound activity, JMB managed all inbound web and telephone enquiries to provide a UK based and instil trust and authenticity with their potential clients. The JMB Approach. JMB held several meetings with MC to define the proposition, identify the key objectives and to ensure the telemarketing team were fully equipped with knowledge of the product - enabling JMB to become an extension of the MC Global team.Our next step was to commence a comprehensive lead generation campaign to communicate MC’s capabilities and gain initial sales introductions. The initial campaign consisted of a pre-arranged meeting programme for the Managing Director of MC to attend during a UK visit. During this trip, the members of the JMB team attended meetings alongside the Managing Director. Following his departure, equipped with the knowledge and product expertise, JMB attended and represented the meetings of behalf of MC Global. Acting as the UK Sales office, this flexible and transparent approach ensured the MC brand could continue to effectively develop meaningful relationships and business opportunities despite being based overseas.",FALSE
52,9278,"STAKA is a leading supplier of high-quality roof access hatches and has been supplying a range of products for over 50 years. At the early stages of their UK growth, STAKA required a physical presence to enhance creditability and their accessibly to their UK audience. This required a UK sales office. Opening an in-market office can be costly and time-consuming. It requires careful consideration and investment into premise, equipment and the recruitment of experienced staff even for established UK companies. To overcome these risks and additional overheads, in May 2014, JMB was selected to act as the inbound UK sales office to increase revenue growth, act as a technical help desk and the UK sales office for STAKA. The JMB Approach. A full understanding of STAKA’s product range was fundamental. In the early stages of any project we ensure meetings are held ensure clear goals are set out from the start. In STAKA’s case, this was inclusive of product training in the Netherlands. The information agreed in these meetings formed the basis of the Project Initiation Document; a repository of relevant information including company background, their product/service & campaign objectives, ensuring that all work is carried out in line with client expectation. The project was to ensure that incoming calls, emails and online enquiries were dealt with. Providing technical assistance, quotations and subsequently processing orders in accordance with STAKA® internal processes. In addition, JMB also followed-up existing quotations to ensure the status was being tracked & to enhance sales conversion. JMB conducted this activity, whilst simultaneously targeting the wider marketplace to increase STAKA’s market reach and increase UK sales. The Results. Within 6 months the number of UK inbound telephone enquires had increased tenfold. Due to the success of the model, STAKA doubled their investment in the UK Sales office within 6 months of implementation. Today, the JMB Team is the face of STAKA UK and manages all UK sales enquires, sales generation, technical support and operations; and is an integral element of STAKA’s business model and international operation.",FALSE
92,9281,"Shoosmiths’ FinTech team advised Zip, a global challenger e-commerce Buy Now Pay Later (BNPL) provider headquartered in Australia, on the full range of its business agreements and arrangements in the UK. Our legal support to Zip brought together Shoosmiths’ FinTech team of technology & FinTech, financial services, and data protection experts to provide a ‘best in class’, seamless service to ensure its contractual arrangements were fit-for-purpose and compliant with regulatory requirements (including GDPR, FCA regulations such as SYSC, and other financial services regulatory requirements). This included Shoosmiths’ FinTech team advising on merchant integration agreements (with The Hut Group, The Fragrance Shop, Shein, The Entertainer, Boohoo, Laser Clinics, Fanatics, JD Sports, Homebase and others), data services agreements with credit bureau (including Transunion and Experian), the innovative implementation of ‘virtual cards’ as a mode of delivery for services in the UK, and proposed API based platform integration and partnering (with a Tier 1 bank, a leading challenger bank, and a multi lender consumer financing platform). Shoosmiths’ FinTech team’s deep understanding of technology (practical, as well as legal), FinTech (subject matter, sector, and market norms), cloud arrangements, and regulator expectations proved essential in identifying and resolving these contractual issues. Our legal support to Zip supported its entrance to the UK market, and allowed people to benefit from Buy Now Pay Later offerings. Anthony Drury, Zip managing director, said: “There is an increasing appetite among retailers to embed buy now, pay later payment domestically and internationally.”",FALSE
92,9281,"Shoosmiths’ advised US-based logistics company Global Critical Logistics on their acquisition of U.K. based Classic Automotive Relocation Services (CARS), a specialist in the road, air, and sea freight shipment of historic, rare, and prestigious vehicles. We were introduced to this matter through existing relationships at Global Critical Logistics (GCL). Our client, GCL, was looking to acquire Classic Automotive Relocation Services (CARS) and in doing so it would expand their international presence by pushing them further into Europe, the USA, and Asia. Given the international nature of this deal, we worked with our international firms at the World Services Group (WSG) on this, whilst handling the UK element. The client was facing the possibility of having to conduct 3 separate transactions. CARS Group had three different entities set up, and so without our creative collaboration, GCL would’ve needed to instruct three different firms and have them draw up three separate sets of terms. Shoosmiths created a sale and purchase agreement template which was then adapted by our WSG colleagues, to ensure commonality between the agreed terms. Doing this meant that GCL was no longer facing the prospect of handling 3 separate transactions, as Shoosmiths acted as project manager on this matter ensuring conformity and commonality throughout. The result was the smooth completion of the transaction, which enabled GCL to acquire a base in the UK, as well as further grow their operations globally, and solidify their position in the market as a global specialist freight forwarder making them the global leader serving the market.",FALSE
38,9284,"Supported a German retailer with British contacts that speak German for banking, employment law, corporate law, corporate taxes, cultural differences, location advice, recruitment and payroll. They successful started their British company and are now active.",TRUE
38,9284,"Provided information and addresses for a German company that is looking to expand into the UK. We contacted up to 300 companies to become a partner for the German company. After meeting the potential partners, the German company bought 51% shares so the British service company could expand even more in Britain with more employees and turnover.",TRUE
105,9294,"1. Our client’s goal Our client, the owner of an existing UK limited SPV company (‘P Ltd’), sought investment in order for P Ltd to purchase and redevelop a large city centre property in the north of England with a view to selling the SPV or the resulting flats.  The owner of P Ltd intended to invest some funds but required the majority of funding to be provided by an outside investor. Elemental was instructed to assist with the introduction of the outside investor and to help structure the investment and joint venture project. Our client’s main goals were to identify and introduce outside investment and to ensure that P Ltd’s record keeping and governance was of a high standard to ease the burden of due diligence in the event of a sale. 2. How Elemental engaged with the overseas business The US resident owner of a Delaware registered investment company (‘W LLC’) indicated interest in the project. Elemental met with W LLC’s owner and the owner of P Ltd in order to discuss what the joint venture might look like from a corporate and investment perspective.  Elemental drafted the shareholders’ agreement and articles of P Ltd and arranged a 70:30 ownership split in favour of W LLC subject to a multi-million pound investment in the property development plan. Elemental’s guidance and advice in respect of the company law and compliance aspects of the deal put the owner of W LLC at ease and provided the clarity and certainty sought to proceed with the investment. 3. The outcome The joint venture documentation was agreed and draw down of the investment into P Ltd commenced. The residential property was successfully developed. Elemental remains involved with the project in a compliance capacity. Two members of our staff were appointed to the board of P Ltd to help ensure that the company was governed well and that the project completed on time and on budget.",FALSE
105,9294,"1. Our client’s goal Our client was a large listed group headquartered in the EU. Despite a billion-euro market capitalisation, the group did not have a UK presence. Our client wished to establish a UK subsidiary to both trade in the UK, and to take advantage of the UK’s double tax treaties to expand further across the globe. 2. How Elemental engaged with the overseas business Elemental met with the client’s representatives during their trip to London. Over the next few months advised them on how to structure their UK investment in the UK from a legal and financial perspective. We made the process of starting a UK business as simple as possible and helped them to incorporate their company and set up the systems and processes necessary to start trading in the UK. Once the business was up and running, we spoke regularly with our client’s staff in the UK and overseas. On an ongoing basis, our specialists assisted the company with bookkeeping, accounting, corporation tax, HR, payroll, pensions, Capital Gains Tax, VAT, Intrastat reporting, CbC reporting and ad-hoc legal matters. We worked closely with the directors and their senior management team to provide a ‘one-stop shop’ for such accounting and compliance services. We also advised the group on how to use the UK as an intermediary holding jurisdiction, providing detailed tax advice on the UK’s double tax treaty network, the dividend exemption and interest deductibility rules. The group has, via the UK and with our advice, expanded in to half a dozen international jurisdictions. 3. The outcome Our client’s business flourished, and the group invested heavily in their UK subsidiary. The company employed 30 staff in the UK and turned over £100m+ over a 3 year period. We worked with them every step of the way and forged a close and productive business relationship. Furthermore, following our client’s positive experience, they recommended our services to one of their strategic partners who have also assisted in setting up a UK subsidiary of their own.",FALSE
42,9303,"We were contacted by a listed Indian company who were considering setting up a subsidiary in the UK. They already had some sales in the UK but wanted to employ people and set up an office in the UK to aid their development. We advised the Indian group on the process of setting up the company in the UK and the accounting and legal requirements that they needed to be aware of once they had incorporated. We also put them in touch with other professionals to assist them with matters such as office rental. Once the decision was made to incorporate the company in the UK, we dealt with this process for them. Now that they are set up, we continue to provide accounting and tax advice to the to ensure that they remain compliant with UK regulations. We also act as auditors of their financial statements and report to their group auditor in India. The outcome was a new UK company which is a 100% subsidiary of the Indian group employing more than 10 people in the UK and continued work for our firm",FALSE
42,9303,"We were engaged by an Indian film production company who were considering producing a film in the UK through a 100% subsidiary of their Indian based group. We advised them on the accounting and tax implications of setting up a company in the UK and on the requirements for UK Film Tax Credit. We also introduced the company to a number of other businesses that were potentially able to assist with the UK film production including local line producers, filming locations, caterers, wardrobe/costume designers and post production companies. Once the decision was made to proceed with the UK film, we incorporated a UK company for them and took care of the accounting and tax requirements for this company. As a consequence of this a Bollywood film was shot and produced in the UK. A number of actors and crew travelled from India and stayed in the UK for several weeks and UK actors and crew were also employed. In addition to ourselves a number of other UK businesses such as those noted above gained work from the film production. The film showed the UK as an attractive destination.",FALSE
130,9304,"We advised a Wisconsin, USA headquartered group which provides international relocation services to companies and individuals in setting up their UK and Ireland operations. The advice included provision of options as to the different types of corporate entity available within the UK and which would be most suitable for the client's business. In consequence of our advice the clients chose to open both in the UK and in the Republic of Ireland, with the main European office being in London. We helped the clients take office premises in The Shard, London. We also provided advice in respect of immigration matters, amendments which may be required to the client's standard form service agreement to ensure compatibility with law and practice within the UK and the rights of employees within the UK and helped the client to set up UK bank accounts. We continue to provide corporate and company secretarial support to the client.",FALSE
130,9304,"We advised Guernsey trusts of an overseas based ultra high net worth individual in the acquisition of a large country estate in Scotland which offers commercial shooting, fishing and stalking to a wide variety of customers. The services offered by the client extend to accommodation in farm cottages, camping and catered shooting accommodation. The estate is one of the largest in Scotland and provides a significant number of jobs in the local area. The estate was held in a corporate vehicle. The range of advice supplied to the client on the acquisition included corporate advice, specialist rural and agricultural property advice, immigration, employment matters, commercial contract advice and finance advice. Since the acquisition the client has significantly redeveloped and upgraded the estate using local designers and construction companies. We have continued to advise in relation to construction law matters and commercial contracts, as well as assisting with procurement advice. We have also provided ongoing support in relation to rural and agricultural issues, such as the right of agricultural tenants to acquire property.",FALSE
69,9305,"We have helped a company based in China to establish a wholly owned UK subsidiary to help carry out its business in the UK. We have worked with the overseas business to obtain a Representative of Overseas Business visa for one of their senior employees in order to allow them to establish the subsidiary in the UK. Through our expertise in Immigration Law, their visa was granted and the senior employee was able to come to the UK and incorporate the subsidiary. We assisted our client to incorporate the company and provided referrals to UK accountants. The outcome is that the UK subsidiary has been fully established and is trading in the UK in the same business activities as the overseas parent company.",FALSE
69,9305,We have assisted our client from Hong Kong with helping to develop their wholly owned UK subsidiary by obtaining a UK Sponsor Licence. We have helped the Company to obtain necessary documents as evidence of proof of trading and to ensure they met the requirements for both a Skilled Worker and Global Business Mobility: Senior or Specialist Worker Sponsor Licence. Through our assistance we were able to secure the sponsor licence for the wholly owned UK subsidiary which allowed them to expand their business in the UK and hire skilled workers from the parent company to come to the UK and develop the subsidiary company. The result is that the UK subsidiary has been able to grow significantly due to the ability to hire skilled employees.,FALSE
85,9306,"We were approached by a US computer advisory company with approximately 100 employees. The company wanted to establish an office in Birmingham to service a significant new UK customer.  We were asked to help choose between establishing a branch and a UK company. In this case, what was important to the client was maintaining confidentiality over financial information and avoiding the cost of an audit. A decision was made to register a branch because there is no requirement to prepare and disclose accounting documents under the parent law, so no requirement to deliver accounts to Companies House. Tax savings or deferral of tax might have been achieved by registering a UK company, but that was not regarded as important.  By making use of the Companies House same-day service, we registered the UK branch within 48 hours of making the decision.  We registered the branch for VAT and gave advice on how to raise VAT invoices to customers. The client decided that it would maintain accounting records in the US and we were appointed to prepare and submit the quarterly VAT returns in the UK.  We made an application to register a PAYE scheme and we were appointed to run the payroll including making BACS payments as an authorised BACS bureau.  The client intended to supply its skilled employees in India and the US to the UK branch on secondment for various periods. Our ex-patriate tax team advised the client on the UK tax and social security implications and helped them to decide who to send and for how long.  Our HR Advisory team helped draft secondment agreements, employment contracts for UK employees and HR policies and procedures.  Our independent financial adviser advised the client on establishing a pension scheme and whether employees and secondees would be entitled to join the Autoenrollment scheme.  We helped to arrange employer liability insurance and public liability insurance through a broker that regularly visits our offices to help us provide a one-stop shop to inward investment clients.  In recent years it has become more and more difficult for foreign-owned businesses to open a UK bank account, especially when there are no UK resident directors. We offer a service provided by former bank managers that identifies the bank or banks that are most likely to be interested in opening an account, based on the client’s business, financial forecasts, location and lending requirements. We introduced the client to managers at 2 UK banks and made appointments so that the managing director could fly to the UK and make an application in person. An account was successfully opened within 2 weeks of making the introduction.",TRUE
85,9306,"We were asked by a listed Indian company to assist them in establishing their UK subsidiary. The subsidiary was to be involved in car racing. Once the company was formed, we were asked to assist them with setting up their accounting records and provide them with monthly management accounts information. This involved us dealing with the UK Managing Director (“MD”) and the parent company financial controller, originally based in India. The MD was recruited from the US and we helped in obtaining the appropriate visa by working with the company’s lawyers. Initially the company had a few transactions and over a period the number of transactions has increased considerably. The annual value of the transactions is now several million pounds. As the volume increased and there was need for regular payments, so we set-up appropriate banking systems where we upload the invoices and payments so that approvals could be done remotely. We assisted the company in obtaining a VAT registration and PAYE registration and the company currently employs 40+ staff. We assisted in drafting the employment contracts and established staff handbook and other employment policies and procedures. We have also set-up a cloud based Human Resources system so that management and employees have access to the system to claim expenses, book their holidays etc. We also assisted with the pension auto-enrollment. The company was involved in developing new technology which in our view would qualify for Research and Development tax credits. We discussed this with the client and have been successful in making a number of claims which has benefited the company. The company continues to invest in Research and Development. In addition to the above, we work with the client to ensure to ensure all their compliance matters are dealt with. This includes the annual audit, the preparation and submission of the company’s tax computation and the company secretarial matters.",TRUE
