app_number,id,number,employees,mobile_number,email_address,website,linkedin_url,facebook_url,twitter_url,name,expertise_products_services,expertise_industries,expertise_regions,expertise_languages
123,9254,OC303525,500+,028 9041 5797,uk_tender_tracker@pwc.com,https://www.pwc.co.uk/,https://www.linkedin.com/company/pwc-uk,,,PricewaterhouseCoopers LLP,"{""Management Consulting"":[""Business Development"",""Risk consultation"",""Strategy and long-term planning""],""Business Support"":[""Business relocation"",""Planning consultants""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CONSTRUCTION"",""EDUCATION_AND_TRAINING"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""WATER""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""CH"",""JA"",""KO"",""DE"",""AR""]"
40,9256,8198795,20 - 49,2045161260,thomas.miles@3cslondon.com,https://www.3cslondon.com/en/,,,,3CS Corporate Solicitors Limited,"{""Legal"":[""Company incorporation"",""Data protection and information assurance"",""Immigration""]}","[""LEGAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_EAST""]","[""EN"",""CH"",""CH"",""JA"",""KO""]"
49,9266,7894977,0 - 19,7795226823,sash@business-at.com,www.business-at.com,www.linkedin.com/in/shashank-dublish-9bb58739,https://www.facebook.com/BUSACCTAX/,,Business Accounting and Tax Ltd,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Opening bank accounts"",""Regulatory support""],""Business Support"":[""Business relocation"",""Planning consultants"",""Staff and family relocation relocation (including schooling for children)""]}","[""AEROSPACE"",""BUSINESS_AND_CONSUMER_SERVICES"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""MINING"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""IN""]"
15,9270,3202078,0 - 19,2082024111,bmermet@frenger.com,WWW.FRENGER.COM,,,,FRENGER BUSINESS SERVICES LTD,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Mergers and acquisitions"",""Opening bank accounts""],""Business Support"":[""Business relocation""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""DE""]"
52,9278,6003195,0 - 19,7771638151,james@jmbpartnership.com,www.thejmbpartnership.com,,,https://twitter.com/JMBPartnership,The JMB Partnership Ltd,"{""Human Resources"":[""Sourcing and hiring""],""Publicity"":[""Marketing""]}","[""ADVANCED_MANUFACTURING"",""AUTOMOTIVE"",""BUSINESS_AND_CONSUMER_SERVICES"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""FOOD_AND_DRINK"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN""]"
92,9281,OC374987,500+,44 (0)3700 867 447,lee.strong@shoosmiths.com,https://www.shoosmiths.com/,https://www.linkedin.com/company/shoosmiths/,,,Shoosmiths LLP,"{""Legal"":[""Data protection and information assurance"",""Employment"",""Intellectual property""],""Business Support"":[""Business relocation""]}","[""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEGAL_SERVICES"",""MARINE"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR""]"
38,9284,1016261,20 - 49,44 (0)2079764100,mail@ahk-london.co.uk,https://grossbritannien.ahk.de/en/,https://www.linkedin.com/company/german-british-chamber-of-industry-and-commerce,,,German-British Chamber of Industry & Commerce,"{""Legal"":[""Company incorporation"",""Data protection and information assurance"",""Employment""],""Business Support"":[""Business relocation"",""Planning consultants""]}","[""ADVANCED_MANUFACTURING"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""DE""]"
105,9294,7707780,20 - 49,44 20 3286 6229,info@elementalcosec.com,https://www.elementalcosec.com/,https://www.linkedin.com/company/elemental-cosec/,,,ELEMENTAL COSEC LIMITED,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Regulatory support""],""Legal"":[""Company incorporation"",""Data protection and information assurance"",""Employment""]}","[""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""HEALTHCARE_AND_MEDICAL"",""LEGAL_SERVICES"",""OIL_AND_GAS"",""POWER"",""RENEWABLE_ENERGY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""ES"",""CH"",""CH"",""IT"",""IN"",""TR"",""IN""]"
42,9303,OC341068,100 - 249,7733106936,acowie@jamescowper.co.uk,www.jamescowperkreston.co.uk,,,,James Cowper LLP,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Mergers and acquisitions"",""Raising capital""]}","[""ADVANCED_MANUFACTURING"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""HEALTHCARE_AND_MEDICAL"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" SOUTH_EAST""]","[""EN"",""FR"",""CH"",""IT"",""DE""]"
130,9304,SO300472,100 - 249,447809586552,ruth.mccallister@morton-fraser.com,www.morton-fraser.com,https://www.linkedin.com/company/morton-fraser,https://www.facebook.com/MortonFraserSolicitors,https://twitter.com/MortonFraserLLP,Morton Fraser LLP,"{""Legal"":[""Employment"",""Immigration"",""Land use planning""]}","[""LEGAL_SERVICES""]",,"[""EN"",""FR"",""DE""]"
69,9305,8864582,0 - 19,2030054854,Efun@mayfair-legal.co.uk,https://www.mayfair-legal.co.uk/,,,https://mobile.twitter.com/mayfairlegal,Mayfair Legal Limited,"{""Legal"":[""Company incorporation"",""Employment"",""Immigration""]}","[""LEGAL_SERVICES""]","["" LONDON"","" NORTH_WEST""]","[""EN"",""CH"",""RU"",""MS""]"
85,9306,OC312313,500+,447850418420,yogan.a.patel@mha.co.uk,www.mha.co.uk,,,,MacIntyre Hudson LLP,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Mergers and acquisitions"",""Regulatory support""],""Human Resources"":[""Payroll"",""Sourcing and hiring"",""Staff onboarding (including new starter support and contracts of employment)""]}","[""ADVANCED_MANUFACTURING"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""JA"",""PT"",""IT"",""DE"",""IN"",""RU"",""IN"",""BN""]"
124,9308,12544604,500+,020 7404 4140,enquiries@zedra.com,https://www.zedra.com/,,,https://www.linkedin.com/company/zedra-group,ZEDRA GLOBAL SERVICES (UK) LIMITED,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Opening bank accounts"",""Regulatory support""],""Business Support"":[""Business relocation"",""Staff and family relocation relocation (including schooling for children)""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS"",""WATER""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""JA"",""KO"",""PT"",""IT"",""DE"",""IN"",""AR"",""RU"",""IN"",""BN"",""KN"",""PK"",""IN"",""TR"",""VI""]"
33,9310,OC380935,20 - 49,2036179173,info@richmondchambers.com,https://immigrationbarrister.co.uk/,https://www.linkedin.com/company/richmond-chambers-immigration-barristers/,https://www.facebook.com/UKVisaBarrister/,https://twitter.com/UKVisaBarrister,Richmond Chambers LLP,"{""Legal"":[""Immigration""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS"",""WATER""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""IT"",""DE"",""RU""]"
71,9314,OC313156,50 - 99,44 (0)20 7874 8806,esther.wood@goodmanjones.com,https://www.goodmanjones.com/who-we-help/uk-establishment,https://www.linkedin.com/company/82240/admin/,,,Goodman Jones LLP,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Mergers and acquisitions"",""Regulatory support""],""Business Support"":[""Business relocation""]}","[""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""LEGAL_SERVICES"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY""]","["" LONDON"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN""]"
75,9328,9766350,0 - 19,7469238303,g.maros@altios.com,https://uk.altios.com/,https://www.linkedin.com/company/altios-international/mycompany/,,,Altios Consulting Limited,"{""Human Resources"":[""Employment and talent search"",""Payroll"",""Sourcing and hiring""],""Business Support"":[""Business relocation"",""Facilities (e.g. water"","" Wi-Fi"","" electricity)""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""MINING"",""RENEWABLE_ENERGY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""PT"",""IT"",""DE"",""IN"",""AR"",""VI""]"
