app_number,number,employees,mobile_number,email_address,website,linkedin_url,facebook_url,twitter_url,name,expertise_products_services,expertise_industries,expertise_regions,expertise_languages
35,11404368,0 - 19,7732930770,dsghai@rdsconsultants.co.uk,www.rdsconsultants.co.uk,,,,RDS Consultants Limited,"{""Management Consulting"":[""Business Development"",""Commercial/pricing strategy"",""Strategy and long-term planning""]}","[""BUSINESS_AND_CONSUMER_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""IN"",""IN"",""PO""]"
17,11717251,0 - 19,7586308158,murat.simsek@movedo.co.uk,www.movedo.co.uk,https://www.linkedin.com/company/movedo,,,Move & Do Consultancy & Trading LTD,"{""Management Consulting"":[""Business Development"",""Commercial/pricing strategy"",""Strategy and long-term planning""],""Business Support"":[""Business relocation"",""Planning consultants""]}","[""ADVANCED_MANUFACTURING"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""RETAIL_AND_LUXURY"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON""]","[""EN"",""TR""]"
73,11974157,0 - 19,44 20 3576 2903,info@securityguardseurope.com,www.securityguardseurope.com,,,,Security Guards Europe LTD,"{""Management Consulting"":[""Product safety regulation and compliance"",""Risk consultation"",""Strategy and long-term planning""],""Business Support"":[""Business relocation"",""Planning consultants"",""Staff and family relocation relocation (including schooling for children)""]}","[""CREATIVE_AND_MEDIA"",""SECURITY""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN""]"
56,12003179,0 - 19,7535557336,louis@fintech-alliance.com,https://fintech-alliance.com/,https://www.linkedin.com/company/fintechalliance/,,https://twitter.com/AllianceFintech,FINTECH ALLIANCE LIMITED,"{""Finance"":[""Raising capital""],""Publicity"":[""Advertising"",""Marketing"",""Social Media""]}","[""FINANCIAL_AND_PROFESSIONAL_SERVICES""]","["" LONDON"","" NORTH_WEST""]","[""EN"",""ES"",""IT""]"
138,12149365,0 - 19,0203 995 4848,billy@fiscalfx.co.uk,https://www.fiscalfx.co.uk,https://uk.linkedin.com/company/fiscal-fx,,,Fiscal FX ltd,"{""Finance"":[""Opening bank accounts"",""Regulatory support""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS"",""WATER""]","["" LONDON""]","[""EN""]"
112,12752417,0 - 19,44 (0) 7591305344,samar.shams@changesimmigration.com,www.changesimmigration.com,www.linkedin.com/in/samarshams,,,Changes Immigration Ltd,"{""Legal"":[""Immigration""]}","[""ADVANCED_MANUFACTURING"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CONSTRUCTION"",""EDUCATION_AND_TRAINING"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" SOUTH_WEST""]","[""EN"",""FR"",""RU""]"
140,13287492,0 - 19,44(0)203 086 7236,toby.way@wbbi.co.uk,https://wbbi.co.uk/,https://uk.linkedin.com/company/westbridge-business-immigration,,,WestBridge Business Immigration Ltd.,"{""Legal"":[""Immigration""],""Business Support"":[""Business relocation"",""Staff and family relocation relocation (including schooling for children)""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""LEGAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""CH"",""IN"",""RU"",""BN"",""KA""]"
132,14056701,20 - 49,7733323342,lcook@atticuscomms.com,https://atticuscomms.com,,,https://twitter.com/AtticusPartners,Atticus Partners Ltd,"{""Management Consulting"":[""Business Development""],""Publicity"":[""Public affairs"",""Public relations"",""Social Media""]}","[""COMMUNICATIONS""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""IT"",""NL""]"
79,15020732,0 - 19,7528518272,hello@oneterra.consulting,https://oneterra.consulting/,https://www.linkedin.com/company/one-terra-consulting,,,OneTerra Consulting Limited,"{""Publicity"":[""Advertising"",""Marketing"",""Social Media""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""COMMUNICATIONS"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES""]","["" LONDON"","" SOUTH_WEST""]","[""EN"",""FR"",""ES"",""PT"",""DE"",""PO""]"
125,OC315197,100 - 249,0115 9552211,info@potterclarkson.com,www.potterclarkson.com,https://www.linkedin.com/company/potterclarkson,,https://twitter.com/PotterClarkson,Potter Clarkson LLP,"{""Legal"":[""Intellectual property""]}","[""AEROSPACE"",""ADVANCED_MANUFACTURING"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALLURGICAL_PROCESS_PLANT"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""POWER"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""JA"",""IT"",""DE"",""RU"",""SV"",""NO"",""DA"",""RO"",""FI"",""GB""]"
114,OC324170,500+,2070909235,kchua@fragomen.com,https://www.fragomen.com/,https://www.linkedin.com/company/fragomen-del-rey-bernsen-&-loewy/,https://www.facebook.com/FragomenWorldwide/,,Fragomen LLP,"{""Legal"":[""Immigration""]}","[""LEGAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""ES"",""CH"",""CH"",""JA"",""KO"",""PT"",""IT"",""DE"",""IN"",""AR"",""RU"",""IN"",""BN"",""KN"",""TR"",""VI"",""UR"",""YO"",""UK"",""TH"",""TE"",""IN"",""PH"",""SV"",""SK"",""SI"",""ZW"",""SG"",""CS"",""CS"",""RO"",""PO"",""FA"",""SG"",""NO"",""NE""]"
101,OC430614,500+,3301373000,bids@wardhadaway.com,www.wardhadaway.com,https://www.linkedin.com/company/ward-hadaway/,,https://twitter.com/WardHadaway,Ward Hadaway LLP,"{""Legal"":[""Company incorporation"",""Employment"",""Immigration""]}","[""ADVANCED_MANUFACTURING"",""AIRPORTS"",""AGRICULTURE"",""HORTICULTURE_AND_FISHERIES"",""AUTOMOTIVE"",""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CHEMICALS"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""COMMUNICATIONS"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""ENVIRONMENT"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""GLOBAL_SPORTS_INFRASTRUCTURE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LIFE_SCIENCES"",""LEISURE_AND_TOURISM"",""LEGAL_SERVICES"",""MARINE"",""MECHANICAL_ELECTRICAL_AND_PROCESS_ENGINEERING"",""METALS"",""MINERALS_AND_MATERIALS"",""MINING"",""OIL_AND_GAS"",""PORTS_AND_LOGISTICS"",""POWER"",""RAILWAYS"",""RENEWABLE_ENERGY"",""RETAIL_AND_LUXURY"",""SECURITY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS"",""WATER""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""FR"",""CH"",""KO"",""DE"",""IN"",""RU"",""IN"",""ID""]"
102,OC432792,250 - 499,44 (0)20 7380 4988,arich@hwfisher.co.uk,https://www.hwfisher.co.uk/,https://www.linkedin.com/company/hw-fisher/mycompany/,,,HW FISHER LLP,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Mergers and acquisitions"",""Regulatory support""]}","[""FINANCIAL_AND_PROFESSIONAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""ES"",""CH"",""DE"",""IN"",""IN"",""UR"",""GR"",""SV"",""IN"",""NE"",""HU"",""PO""]"
126,SC628653,0 - 19,01224 679307,alison.paton@alignpeoplehr.com,https://www.alignpeoplehr.com/,https://www.linkedin.com/company/alignpeoplehr/?viewAsMember=true,,,Align People HR Limited,"{""Human Resources"":[""Employment and talent search"",""Salary benchmarking and employee benefits"",""Staff onboarding (including new starter support and contracts of employment)""]}","[""BUSINESS_AND_CONSUMER_SERVICES"",""FINANCIAL_AND_PROFESSIONAL_SERVICES""]","["" LONDON"","" NORTH_WEST"",""NORTH_EAST"",""MIDLANDS"","" SOUTH_WEST"","" SOUTH_EAST""]",
53,UNKNOWN-1,0 - 19,44 (0)1905 570 605,hello@janinaneumanndesign.co.uk,https://www.janinaneumanndesign.co.uk,https://www.linkedin.com/company/janina-neumann-design,https://www.facebook.com/janinaneumanndesign,,,"{""Publicity"":[""Branding"",""Marketing"",""Social Media""]}","[""CREATIVE_AND_MEDIA""]","["" SOUTH_WEST""]","[""EN"",""DE""]"
117,UNKNOWN-2,0 - 19,2085159797,joe.lee@leftley-rowe.co.uk,www.leftley-rowe.co.uk,,,,,"{""Finance"":[""Accounting and tax (including registration for VAT and PAYE)"",""Mergers and acquisitions"",""Raising capital""],""Business Support"":[""Business relocation"",""Planning consultants"",""Staff and family relocation relocation (including schooling for children)""]}","[""BIOTECHNOLOGY_AND_PHARMACEUTICALS"",""BUSINESS_AND_CONSUMER_SERVICES"",""CLOTHING"",""FOOTWEAR_AND_FASHION"",""CONSTRUCTION"",""CREATIVE_AND_MEDIA"",""EDUCATION_AND_TRAINING"",""ELECTRONICS_AND_IT_HARDWARE"",""FINANCIAL_AND_PROFESSIONAL_SERVICES"",""FOOD_AND_DRINK"",""GIFTWARE"",""JEWELLERY_AND_TABLEWARE"",""HEALTHCARE_AND_MEDICAL"",""HOUSEHOLD_GOODS"",""FURNITURE_AND_FURNISHINGS"",""LEISURE_AND_TOURISM"",""METALS"",""MINERALS_AND_MATERIALS"",""PORTS_AND_LOGISTICS"",""RETAIL_AND_LUXURY"",""SOFTWARE_AND_COMPUTER_SERVICES"",""TEXTILES"",""INTERIOR_TEXTILES_AND_CARPETS""]","["" LONDON"","" NORTH_WEST"","" SOUTH_WEST"","" SOUTH_EAST""]","[""EN"",""CH"",""CH"",""IN"",""IN"",""KN"",""HU"",""PH""]"
