country_code,country_name,subject,scale,units,year_2020,year_2021
AGO,Angola,"Inflation, end of period consumer prices",Percent change,,20.979,23.981
AGO,Angola,Unemployment rate,Percent of total labor force,,,
AGO,Angola,General government net lending/borrowing,Percent of GDP,,-5.978,-2.482
AGO,Angola,Current account balance,Percent of GDP,,-6.719,-3.017
ATG,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,-9.998,7.959
ATG,Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.506,2.758
ATG,Antigua and Barbuda,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-11.321,6.397
ATG,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,1.443,1.685
ATG,Antigua and Barbuda,"Inflation, end of period consumer prices",Percent change,,1.348,2.008
ATG,Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,
ATG,Antigua and Barbuda,General government net lending/borrowing,Percent of GDP,,-9.46,-5.635
ATG,Antigua and Barbuda,Current account balance,Percent of GDP,,-25.567,-25.269
ARG,Argentina,"Gross domestic product, constant prices",Percent change,,-5.719,4.448
ARG,Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,864.887,920.972
ARG,Argentina,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.653,3.414
ARG,Argentina,"Inflation, average consumer prices",Percent change,,,
ARG,Argentina,"Inflation, end of period consumer prices",Percent change,,,
ARG,Argentina,Unemployment rate,Percent of total labor force,,10.903,10.084
ARG,Argentina,General government net lending/borrowing,Percent of GDP,,,
ARG,Argentina,Current account balance,Percent of GDP,,,
ARM,Armenia,"Gross domestic product, constant prices",Percent change,,-1.479,4.77
ARM,Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,33.141,35.399
ARM,Armenia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-1.487,4.762
ARM,Armenia,"Inflation, average consumer prices",Percent change,,0.847,2.028
ARM,Armenia,"Inflation, end of period consumer prices",Percent change,,1.535,2.525
ARM,Armenia,Unemployment rate,Percent of total labor force,,18.964,18.389
ARM,Armenia,General government net lending/borrowing,Percent of GDP,,-4.986,-2.456
ARM,Armenia,Current account balance,Percent of GDP,,-8.56,-7.225
ABW,Aruba,"Gross domestic product, constant prices",Percent change,,-13.7,12.1
ABW,Aruba,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3.883,4.438
ABW,Aruba,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-14.072,11.655
ABW,Aruba,"Inflation, average consumer prices",Percent change,,1.514,1.952
ABW,Aruba,"Inflation, end of period consumer prices",Percent change,,-0.663,3.257
ABW,Aruba,Unemployment rate,Percent of total labor force,,7.504,7.458
ABW,Aruba,General government net lending/borrowing,Percent of GDP,,-15.681,-3.587
ABW,Aruba,Current account balance,Percent of GDP,,-11.153,-1.051
AUS,Australia,"Gross domestic product, constant prices",Percent change,,-6.665,6.111
AUS,Australia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1279.36,1384.02
AUS,Australia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.088,4.494
AUS,Australia,"Inflation, average consumer prices",Percent change,,1.431,1.823
AUS,Australia,"Inflation, end of period consumer prices",Percent change,,1.164,2.015
AUS,Australia,Unemployment rate,Percent of total labor force,,7.621,8.924
AUS,Australia,General government net lending/borrowing,Percent of GDP,,-9.726,-7.336
AUS,Australia,Current account balance,Percent of GDP,,-0.631,-1.805
AUT,Austria,"Gross domestic product, constant prices",Percent change,,-6.997,4.51
AUT,Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,446.265,475.484
AUT,Austria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.63,3.852
AUT,Austria,"Inflation, average consumer prices",Percent change,,0.44,1.699
AUT,Austria,"Inflation, end of period consumer prices",Percent change,,0.3,1.9
AUT,Austria,Unemployment rate,Percent of total labor force,,5.5,5
AUT,Austria,General government net lending/borrowing,Percent of GDP,,-7.095,-1.562
AUT,Austria,Current account balance,Percent of GDP,,1.898,1.979
AZE,Azerbaijan,"Gross domestic product, constant prices",Percent change,,-2.184,0.707
AZE,Azerbaijan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,184.418,189.343
AZE,Azerbaijan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.344,-0.487
AZE,Azerbaijan,"Inflation, average consumer prices",Percent change,,3.3,3.2
AZE,Azerbaijan,"Inflation, end of period consumer prices",Percent change,,3.3,3.2
AZE,Azerbaijan,Unemployment rate,Percent of total labor force,,4.993,4.986
AZE,Azerbaijan,General government net lending/borrowing,Percent of GDP,,-12.822,-9.674
AZE,Azerbaijan,Current account balance,Percent of GDP,,-8.249,-3.673
BHS,The Bahamas,"Gross domestic product, constant prices",Percent change,,-8.325,6.689
BHS,The Bahamas,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,11.807,12.843
BHS,The Bahamas,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-9.338,5.511
BHS,The Bahamas,"Inflation, average consumer prices",Percent change,,2.37,2.795
BHS,The Bahamas,"Inflation, end of period consumer prices",Percent change,,2.908,2.685
BHS,The Bahamas,Unemployment rate,Percent of total labor force,,15.203,13.615
BHS,The Bahamas,General government net lending/borrowing,Percent of GDP,,-8.447,-7.022
BHS,The Bahamas,Current account balance,Percent of GDP,,-12.674,-9.264
BHR,Bahrain,"Gross domestic product, constant prices",Percent change,,-3.59,2.986
BHR,Bahrain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,74.649,78.377
BHR,Bahrain,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.481,0.967
BHR,Bahrain,"Inflation, average consumer prices",Percent change,,2.6,2.5
BHR,Bahrain,"Inflation, end of period consumer prices",Percent change,,2.4,2.4
BHR,Bahrain,Unemployment rate,Percent of total labor force,,4.687,3.81
BHR,Bahrain,General government net lending/borrowing,Percent of GDP,,-15.708,-11.911
BHR,Bahrain,Current account balance,Percent of GDP,,-9.639,-7.326
BGD,Bangladesh,"Gross domestic product, constant prices",Percent change,,2.019,9.531
BGD,Bangladesh,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,860.916,961.356
BGD,Bangladesh,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,0.973,8.408
BGD,Bangladesh,"Inflation, average consumer prices",Percent change,,5.53,5.555
BGD,Bangladesh,"Inflation, end of period consumer prices",Percent change,,5.53,5.555
BGD,Bangladesh,Unemployment rate,Percent of total labor force,,,
BGD,Bangladesh,General government net lending/borrowing,Percent of GDP,,-6.425,-5.977
BGD,Bangladesh,Current account balance,Percent of GDP,,-2.167,-0.816
BRB,Barbados,"Gross domestic product, constant prices",Percent change,,-7.6,7.1
BRB,Barbados,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,5.051,5.515
BRB,Barbados,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.834,6.829
BRB,Barbados,"Inflation, average consumer prices",Percent change,,4.464,1.615
BRB,Barbados,"Inflation, end of period consumer prices",Percent change,,0.722,2.37
BRB,Barbados,Unemployment rate,Percent of total labor force,,13.41,11.448
BRB,Barbados,General government net lending/borrowing,Percent of GDP,,-0.552,1.04
BRB,Barbados,Current account balance,Percent of GDP,,-7.765,-5.576
BLR,Belarus,"Gross domestic product, constant prices",Percent change,,-5.992,3.487
BLR,Belarus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,184.593,194.755
BLR,Belarus,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.519,4.007
BLR,Belarus,"Inflation, average consumer prices",Percent change,,5.608,5.593
BLR,Belarus,"Inflation, end of period consumer prices",Percent change,,6.532,4.941
BLR,Belarus,Unemployment rate,Percent of total labor force,,2.322,1.829
BLR,Belarus,General government net lending/borrowing,Percent of GDP,,-4.632,-2.999
BLR,Belarus,Current account balance,Percent of GDP,,-2.932,-2.508
BEL,Belgium,"Gross domestic product, constant prices",Percent change,,-6.924,4.564
BEL,Belgium,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,536.621,572.053
BEL,Belgium,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.404,4.024
BEL,Belgium,"Inflation, average consumer prices",Percent change,,0.253,1.09
BEL,Belgium,"Inflation, end of period consumer prices",Percent change,,-0.167,1.423
BEL,Belgium,Unemployment rate,Percent of total labor force,,7.3,6.8
BEL,Belgium,General government net lending/borrowing,Percent of GDP,,-8.875,-6.049
BEL,Belgium,Current account balance,Percent of GDP,,-0.702,-1.078
BLZ,Belize,"Gross domestic product, constant prices",Percent change,,-11.997,7.607
BLZ,Belize,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.974,3.263
BLZ,Belize,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-13.722,5.188
BLZ,Belize,"Inflation, average consumer prices",Percent change,,0.999,1.402
BLZ,Belize,"Inflation, end of period consumer prices",Percent change,,0.8,2
BLZ,Belize,Unemployment rate,Percent of total labor force,,18.676,14.457
BLZ,Belize,General government net lending/borrowing,Percent of GDP,,-5.188,-4.257
BLZ,Belize,Current account balance,Percent of GDP,,-18.625,-9.006
BEN,Benin,"Gross domestic product, constant prices",Percent change,,4.519,5.974
BEN,Benin,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,42.749,46.186
BEN,Benin,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,1.66,3.077
BEN,Benin,"Inflation, average consumer prices",Percent change,,-0.801,0.6
BEN,Benin,"Inflation, end of period consumer prices",Percent change,,-0.801,0.6
BEN,Benin,Unemployment rate,Percent of total labor force,,,
BEN,Benin,General government net lending/borrowing,Percent of GDP,,-2.808,-2.189
BEN,Benin,Current account balance,Percent of GDP,,-5.323,-3.677
BTN,Bhutan,"Gross domestic product, constant prices",Percent change,,2.671,2.866
BTN,Bhutan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,8.2,8.6
BTN,Bhutan,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,1.421,1.614
BTN,Bhutan,"Inflation, average consumer prices",Percent change,,3.072,3.482
BTN,Bhutan,"Inflation, end of period consumer prices",Percent change,,3.444,3.521
BTN,Bhutan,Unemployment rate,Percent of total labor force,,,
BTN,Bhutan,General government net lending/borrowing,Percent of GDP,,-5.529,-5.858
BTN,Bhutan,Current account balance,Percent of GDP,,-21.254,-20.167
BOL,Bolivia,"Gross domestic product, constant prices",Percent change,,-2.9,2.9
BOL,Bolivia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,91.225,95.701
BOL,Bolivia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.318,1.397
BOL,Bolivia,"Inflation, average consumer prices",Percent change,,2.262,4.352
BOL,Bolivia,"Inflation, end of period consumer prices",Percent change,,4.106,3.763
BOL,Bolivia,Unemployment rate,Percent of total labor force,,8,4
BOL,Bolivia,General government net lending/borrowing,Percent of GDP,,-7.323,-6.929
BOL,Bolivia,Current account balance,Percent of GDP,,-4.624,-4.878
BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,-5,3.5
BIH,Bosnia and Herzegovina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,47.54,50.164
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.903,3.682
BIH,Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,-0.64,1.373
BIH,Bosnia and Herzegovina,"Inflation, end of period consumer prices",Percent change,,-0.64,1.235
BIH,Bosnia and Herzegovina,Unemployment rate,Percent of total labor force,,18,16.5
BIH,Bosnia and Herzegovina,General government net lending/borrowing,Percent of GDP,,-4.424,0.951
BIH,Bosnia and Herzegovina,Current account balance,Percent of GDP,,-7.48,-5.549
BWA,Botswana,"Gross domestic product, constant prices",Percent change,,-5.379,6.781
BWA,Botswana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,41.809,45.514
BWA,Botswana,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.106,4.832
BWA,Botswana,"Inflation, average consumer prices",Percent change,,2.116,2.581
BWA,Botswana,"Inflation, end of period consumer prices",Percent change,,2.116,2.581
BWA,Botswana,Unemployment rate,Percent of total labor force,,,
BWA,Botswana,General government net lending/borrowing,Percent of GDP,,-5.903,-3.137
BWA,Botswana,Current account balance,Percent of GDP,,-2.466,-1.659
BRA,Brazil,"Gross domestic product, constant prices",Percent change,,-5.303,2.89
BRA,Brazil,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3316.92,3479.34
BRA,Brazil,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.936,2.233
BRA,Brazil,"Inflation, average consumer prices",Percent change,,3.555,3.305
BRA,Brazil,"Inflation, end of period consumer prices",Percent change,,3.01,3.268
BRA,Brazil,Unemployment rate,Percent of total labor force,,14.7,13.5
BRA,Brazil,General government net lending/borrowing,Percent of GDP,,-9.349,-6.132
BRA,Brazil,Current account balance,Percent of GDP,,-1.771,-2.306
BRN,Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,1.297,3.541
BRN,Brunei Darussalam,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,37.342,39.418
BRN,Brunei Darussalam,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,1.064,3.303
BRN,Brunei Darussalam,"Inflation, average consumer prices",Percent change,,0.903,0.971
BRN,Brunei Darussalam,"Inflation, end of period consumer prices",Percent change,,0.903,0.971
BRN,Brunei Darussalam,Unemployment rate,Percent of total labor force,,9.316,9.316
BRN,Brunei Darussalam,General government net lending/borrowing,Percent of GDP,,-26.578,-21.635
BRN,Brunei Darussalam,Current account balance,Percent of GDP,,-1.249,2.129
BGR,Bulgaria,"Gross domestic product, constant prices",Percent change,,-4,6.04
BGR,Bulgaria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,165.13,178.518
BGR,Bulgaria,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.45,6.68
BGR,Bulgaria,"Inflation, average consumer prices",Percent change,,1.029,1.948
BGR,Bulgaria,"Inflation, end of period consumer prices",Percent change,,1,2.4
BGR,Bulgaria,Unemployment rate,Percent of total labor force,,8,4.5
BGR,Bulgaria,General government net lending/borrowing,Percent of GDP,,-2.94,-1.422
BGR,Bulgaria,Current account balance,Percent of GDP,,1.663,0.556
BFA,Burkina Faso,"Gross domestic product, constant prices",Percent change,,1.996,5.804
BFA,Burkina Faso,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,48.553,52.373
BFA,Burkina Faso,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.887,2.814
BFA,Burkina Faso,"Inflation, average consumer prices",Percent change,,3.2,2.1
BFA,Burkina Faso,"Inflation, end of period consumer prices",Percent change,,3.2,2.1
BFA,Burkina Faso,Unemployment rate,Percent of total labor force,,,
BFA,Burkina Faso,General government net lending/borrowing,Percent of GDP,,-5,-3.5
BFA,Burkina Faso,Current account balance,Percent of GDP,,-4.268,-4.466
BDI,Burundi,"Gross domestic product, constant prices",Percent change,,-5.542,4.212
BDI,Burundi,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,8.281,8.798
BDI,Burundi,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.293,1.177
BDI,Burundi,"Inflation, average consumer prices",Percent change,,8,6
BDI,Burundi,"Inflation, end of period consumer prices",Percent change,,10.427,2.452
BDI,Burundi,Unemployment rate,Percent of total labor force,,,
BDI,Burundi,General government net lending/borrowing,Percent of GDP,,-8.996,-6.761
BDI,Burundi,Current account balance,Percent of GDP,,-17.115,-16.616
CPV,Cabo Verde,"Gross domestic product, constant prices",Percent change,,-4.04,5.506
CPV,Cabo Verde,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.194,4.511
CPV,Cabo Verde,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.171,4.263
CPV,Cabo Verde,"Inflation, average consumer prices",Percent change,,1.3,1.4
CPV,Cabo Verde,"Inflation, end of period consumer prices",Percent change,,1.3,1.4
CPV,Cabo Verde,Unemployment rate,Percent of total labor force,,8.5,8.5
CPV,Cabo Verde,General government net lending/borrowing,Percent of GDP,,-8.337,-4.283
CPV,Cabo Verde,Current account balance,Percent of GDP,,-7.742,-7.564
KHM,Cambodia,"Gross domestic product, constant prices",Percent change,,-1.587,6.057
KHM,Cambodia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,76.218,82.41
KHM,Cambodia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.042,4.489
KHM,Cambodia,"Inflation, average consumer prices",Percent change,,1.548,1.891
KHM,Cambodia,"Inflation, end of period consumer prices",Percent change,,0.873,2.784
KHM,Cambodia,Unemployment rate,Percent of total labor force,,,
KHM,Cambodia,General government net lending/borrowing,Percent of GDP,,-1.87,-1.747
KHM,Cambodia,Current account balance,Percent of GDP,,-22.179,-17.579
CMR,Cameroon,"Gross domestic product, constant prices",Percent change,,-1.215,4.051
CMR,Cameroon,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,100.013,106.093
CMR,Cameroon,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.625,1.513
CMR,Cameroon,"Inflation, average consumer prices",Percent change,,2.8,2.25
CMR,Cameroon,"Inflation, end of period consumer prices",Percent change,,2.4,2.1
CMR,Cameroon,Unemployment rate,Percent of total labor force,,,
CMR,Cameroon,General government net lending/borrowing,Percent of GDP,,-4.468,-3.618
CMR,Cameroon,Current account balance,Percent of GDP,,-5.658,-4.805
CAN,Canada,"Gross domestic product, constant prices",Percent change,,-6.226,4.246
CAN,Canada,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1797.17,1910
CAN,Canada,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-7.525,3.126
CAN,Canada,"Inflation, average consumer prices",Percent change,,0.61,1.261
CAN,Canada,"Inflation, end of period consumer prices",Percent change,,0.22,1.59
CAN,Canada,Unemployment rate,Percent of total labor force,,7.474,7.214
CAN,Canada,General government net lending/borrowing,Percent of GDP,,-11.837,-3.843
CAN,Canada,Current account balance,Percent of GDP,,-3.673,-2.311
CAF,Central African Republic,"Gross domestic product, constant prices",Percent change,,1.044,3.989
CAF,Central African Republic,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.27,4.527
CAF,Central African Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-0.735,2.087
CAF,Central African Republic,"Inflation, average consumer prices",Percent change,,1.25,2.536
CAF,Central African Republic,"Inflation, end of period consumer prices",Percent change,,3.469,2.522
CAF,Central African Republic,Unemployment rate,Percent of total labor force,,,
CAF,Central African Republic,General government net lending/borrowing,Percent of GDP,,-2.413,0.352
CAF,Central African Republic,Current account balance,Percent of GDP,,-5.348,-5.012
TCD,Chad,"Gross domestic product, constant prices",Percent change,,-0.158,6.067
TCD,Chad,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,32.065,34.674
TCD,Chad,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.069,3.001
TCD,Chad,"Inflation, average consumer prices",Percent change,,2.241,2.905
TCD,Chad,"Inflation, end of period consumer prices",Percent change,,2.294,2.942
TCD,Chad,Unemployment rate,Percent of total labor force,,,
TCD,Chad,General government net lending/borrowing,Percent of GDP,,-0.439,-2.232
TCD,Chad,Current account balance,Percent of GDP,,-12.919,-10.075
CHL,Chile,"Gross domestic product, constant prices",Percent change,,-4.486,5.274
CHL,Chile,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,475.964,510.835
CHL,Chile,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-6.21,3.887
CHL,Chile,"Inflation, average consumer prices",Percent change,,3.374,2.926
CHL,Chile,"Inflation, end of period consumer prices",Percent change,,2.5,3
CHL,Chile,Unemployment rate,Percent of total labor force,,9.709,8.88
CHL,Chile,General government net lending/borrowing,Percent of GDP,,-6.317,-3.538
CHL,Chile,Current account balance,Percent of GDP,,-0.869,-1.775
CHN,China,"Gross domestic product, constant prices",Percent change,,1.181,9.206
CHN,China,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,27804.95,30956.73
CHN,China,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,0.872,8.914
CHN,China,"Inflation, average consumer prices",Percent change,,3.046,2.551
CHN,China,"Inflation, end of period consumer prices",Percent change,,0.953,2.983
CHN,China,Unemployment rate,Percent of total labor force,,4.3,3.8
CHN,China,General government net lending/borrowing,Percent of GDP,,-11.228,-9.569
CHN,China,Current account balance,Percent of GDP,,0.545,1.047
COL,Colombia,"Gross domestic product, constant prices",Percent change,,-2.386,3.745
COL,Colombia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,771.957,816.482
COL,Colombia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.353,2.718
COL,Colombia,"Inflation, average consumer prices",Percent change,,3.512,3.211
COL,Colombia,"Inflation, end of period consumer prices",Percent change,,3.198,3.042
COL,Colombia,Unemployment rate,Percent of total labor force,,12.2,11.916
COL,Colombia,General government net lending/borrowing,Percent of GDP,,-2.46,-1.264
COL,Colombia,Current account balance,Percent of GDP,,-4.672,-4.162
COM,Comoros,"Gross domestic product, constant prices",Percent change,,-1.16,3.096
COM,Comoros,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.516,2.645
COM,Comoros,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-3.748,0.42
COM,Comoros,"Inflation, average consumer prices",Percent change,,3,2.1
COM,Comoros,"Inflation, end of period consumer prices",Percent change,,-5.534,3.808
COM,Comoros,Unemployment rate,Percent of total labor force,,,
COM,Comoros,General government net lending/borrowing,Percent of GDP,,-3.778,-2.747
COM,Comoros,Current account balance,Percent of GDP,,-5.68,-4.51
COD,Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,-2.239,3.542
COD,Democratic Republic of the Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,81.806,86.355
COD,Democratic Republic of the Congo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-5.086,0.526
COD,Democratic Republic of the Congo,"Inflation, average consumer prices",Percent change,,11,10.5
COD,Democratic Republic of the Congo,"Inflation, end of period consumer prices",Percent change,,12,9
COD,Democratic Republic of the Congo,Unemployment rate,Percent of total labor force,,,
COD,Democratic Republic of the Congo,General government net lending/borrowing,Percent of GDP,,-1.178,-0.309
COD,Democratic Republic of the Congo,Current account balance,Percent of GDP,,-5.441,-4.052
COG,Republic of Congo,"Gross domestic product, constant prices",Percent change,,-2.277,3.431
COG,Republic of Congo,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,30.702,32.375
COG,Republic of Congo,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.661,0.908
COG,Republic of Congo,"Inflation, average consumer prices",Percent change,,2.065,2.638
COG,Republic of Congo,"Inflation, end of period consumer prices",Percent change,,2.517,2.718
COG,Republic of Congo,Unemployment rate,Percent of total labor force,,,
COG,Republic of Congo,General government net lending/borrowing,Percent of GDP,,5.7,6.121
COG,Republic of Congo,Current account balance,Percent of GDP,,-1.208,-2.788
CRI,Costa Rica,"Gross domestic product, constant prices",Percent change,,-3.292,2.971
CRI,Costa Rica,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,89.597,94.058
CRI,Costa Rica,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-4.303,1.895
CRI,Costa Rica,"Inflation, average consumer prices",Percent change,,1.537,2.252
CRI,Costa Rica,"Inflation, end of period consumer prices",Percent change,,2,2.5
CRI,Costa Rica,Unemployment rate,Percent of total labor force,,12.5,10.5
CRI,Costa Rica,General government net lending/borrowing,Percent of GDP,,-7.846,-7.085
CRI,Costa Rica,Current account balance,Percent of GDP,,-4.455,-3.082
CIV,CÙte d'Ivoire,"Gross domestic product, constant prices",Percent change,,2.7,8.7
CIV,CÙte d'Ivoire,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,163.594,181.294
CIV,CÙte d'Ivoire,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,0.097,5.945
CIV,CÙte d'Ivoire,"Inflation, average consumer prices",Percent change,,1.2,1.4
CIV,CÙte d'Ivoire,"Inflation, end of period consumer prices",Percent change,,1.2,1.4
CIV,CÙte d'Ivoire,Unemployment rate,Percent of total labor force,,,
CIV,CÙte d'Ivoire,General government net lending/borrowing,Percent of GDP,,-5.272,-2.489
CIV,CÙte d'Ivoire,Current account balance,Percent of GDP,,-3.293,-2.518
HRV,Croatia,"Gross domestic product, constant prices",Percent change,,-9.024,4.948
HRV,Croatia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,103.111,110.323
HRV,Croatia,"Gross domestic product per capita, constant prices",Purchasing power parity; percent change,,-8.512,5.799
HRV,Croatia,"Inflation, average consumer prices",Percent change,,1.329,1.181
HRV,Croatia,"Inflation, end of period consumer prices",Percent change,,1.126,1.225
HRV,Croatia,Unemployment rate,Percent of total labor force,,11.5,8
HRV,Croatia,General government net lending/borrowing,Percent of GDP,,-6.53,-2.552
HRV,Croatia,Current account balance,Percent of GDP,,-3.985,-1.549
CYP,Cyprus,"Gross domestic product, constant prices",Percent change,,-6.471,5.594
CYP,Cyprus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,34.745,37.404
